image_path,label,machine_id,split
data/synthetic/images/normal_000.png,normal,M-01,test
data/synthetic/images/normal_001.png,normal,M-02,test
data/synthetic/images/normal_002.png,normal,M-03,test
data/synthetic/images/normal_003.png,normal,M-04,validation
data/synthetic/images/normal_004.png,normal,M-05,train
data/synthetic/images/normal_005.png,normal,M-06,train
data/synthetic/images/normal_006.png,normal,M-01,validation
data/synthetic/images/normal_007.png,normal,M-02,train
data/synthetic/images/normal_008.png,normal,M-03,test
data/synthetic/images/normal_009.png,normal,M-04,train
data/synthetic/images/normal_010.png,normal,M-05,validation
data/synthetic/images/normal_011.png,normal,M-06,validation
data/synthetic/images/normal_012.png,normal,M-01,test
data/synthetic/images/normal_013.png,normal,M-02,test
data/synthetic/images/normal_014.png,normal,M-03,test
data/synthetic/images/normal_015.png,normal,M-04,train
data/synthetic/images/normal_016.png,normal,M-05,train
data/synthetic/images/normal_017.png,normal,M-06,train
data/synthetic/images/normal_018.png,normal,M-01,train
data/synthetic/images/normal_019.png,normal,M-02,validation
data/synthetic/images/normal_020.png,normal,M-03,train
data/synthetic/images/normal_021.png,normal,M-04,train
data/synthetic/images/normal_022.png,normal,M-05,validation
data/synthetic/images/normal_023.png,normal,M-06,train
data/synthetic/images/normal_024.png,normal,M-01,train
data/synthetic/images/normal_025.png,normal,M-02,train
data/synthetic/images/normal_026.png,normal,M-03,train
data/synthetic/images/normal_027.png,normal,M-04,train
data/synthetic/images/normal_028.png,normal,M-05,train
data/synthetic/images/normal_029.png,normal,M-06,train
data/synthetic/images/normal_030.png,normal,M-01,validation
data/synthetic/images/normal_031.png,normal,M-02,train
data/synthetic/images/normal_032.png,normal,M-03,train
data/synthetic/images/normal_033.png,normal,M-04,test
data/synthetic/images/normal_034.png,normal,M-05,train
data/synthetic/images/normal_035.png,normal,M-06,validation
data/synthetic/images/normal_036.png,normal,M-01,test
data/synthetic/images/normal_037.png,normal,M-02,train
data/synthetic/images/normal_038.png,normal,M-03,train
data/synthetic/images/normal_039.png,normal,M-04,train
data/synthetic/images/normal_040.png,normal,M-05,train
data/synthetic/images/normal_041.png,normal,M-06,train
data/synthetic/images/normal_042.png,normal,M-01,train
data/synthetic/images/normal_043.png,normal,M-02,validation
data/synthetic/images/normal_044.png,normal,M-03,validation
data/synthetic/images/normal_045.png,normal,M-04,train
data/synthetic/images/normal_046.png,normal,M-05,train
data/synthetic/images/normal_047.png,normal,M-06,train
data/synthetic/images/normal_048.png,normal,M-01,test
data/synthetic/images/normal_049.png,normal,M-02,train
data/synthetic/images/defect_000.png,defect,M-03,train
data/synthetic/images/defect_001.png,defect,M-04,test
data/synthetic/images/defect_002.png,defect,M-05,train
data/synthetic/images/defect_003.png,defect,M-06,validation
data/synthetic/images/defect_004.png,defect,M-01,train
data/synthetic/images/defect_005.png,defect,M-02,validation
data/synthetic/images/defect_006.png,defect,M-03,train
data/synthetic/images/defect_007.png,defect,M-04,validation
data/synthetic/images/defect_008.png,defect,M-05,train
data/synthetic/images/defect_009.png,defect,M-06,train
data/synthetic/images/defect_010.png,defect,M-01,validation
data/synthetic/images/defect_011.png,defect,M-02,train
data/synthetic/images/defect_012.png,defect,M-03,test
data/synthetic/images/defect_013.png,defect,M-04,train
data/synthetic/images/defect_014.png,defect,M-05,train
data/synthetic/images/defect_015.png,defect,M-06,train
data/synthetic/images/defect_016.png,defect,M-01,train
data/synthetic/images/defect_017.png,defect,M-02,test
data/synthetic/images/defect_018.png,defect,M-03,train
data/synthetic/images/defect_019.png,defect,M-04,train
data/synthetic/images/defect_020.png,defect,M-05,train
data/synthetic/images/defect_021.png,defect,M-06,train
data/synthetic/images/defect_022.png,defect,M-01,validation
data/synthetic/images/defect_023.png,defect,M-02,validation
data/synthetic/images/defect_024.png,defect,M-03,train
data/synthetic/images/defect_025.png,defect,M-04,train
data/synthetic/images/defect_026.png,defect,M-05,validation
data/synthetic/images/defect_027.png,defect,M-06,train
data/synthetic/images/defect_028.png,defect,M-01,train
data/synthetic/images/defect_029.png,defect,M-02,test
data/synthetic/images/defect_030.png,defect,M-03,train
data/synthetic/images/defect_031.png,defect,M-04,test
data/synthetic/images/defect_032.png,defect,M-05,validation
data/synthetic/images/defect_033.png,defect,M-06,train
data/synthetic/images/defect_034.png,defect,M-01,train
data/synthetic/images/defect_035.png,defect,M-02,train
data/synthetic/images/defect_036.png,defect,M-03,train
data/synthetic/images/defect_037.png,defect,M-04,train
data/synthetic/images/defect_038.png,defect,M-05,train
data/synthetic/images/defect_039.png,defect,M-06,test
data/synthetic/images/defect_040.png,defect,M-01,test
data/synthetic/images/defect_041.png,defect,M-02,test
data/synthetic/images/defect_042.png,defect,M-03,test
data/synthetic/images/defect_043.png,defect,M-04,train
data/synthetic/images/defect_044.png,defect,M-05,validation
data/synthetic/images/defect_045.png,defect,M-06,validation
data/synthetic/images/defect_046.png,defect,M-01,train
data/synthetic/images/defect_047.png,defect,M-02,train
data/synthetic/images/defect_048.png,defect,M-03,train
data/synthetic/images/defect_049.png,defect,M-04,test
