machine_id,machine_type,date,shift,production_rate,production_count,quality_score,downtime_minutes,operating_status,temperature_k_mean,temperature_k_std,temperature_k_max,process_temperature_k_mean,process_temperature_k_std,process_temperature_k_max,vibration_mm_s_mean,vibration_mm_s_std,vibration_mm_s_max,pressure_bar_mean,pressure_bar_std,pressure_bar_max,torque_nm_mean,torque_nm_std,torque_nm_max,rotational_speed_rpm_mean,rotational_speed_rpm_std,rotational_speed_rpm_max,load_pct_mean,load_pct_std,load_pct_max,failure_occurred_this_shift,days_since_last_maintenance,maintenance_count_past_7d
M-01,CNC,2026-05-01,Afternoon,42.82,343,99.05,0,RUNNING,296.29623844741354,0.17453794430824343,296.56868879363657,306.3736576318144,0.9609667772197693,308.142810308102,1.7552412930515888,0.37538400941323047,2.629412898416338,5.563358926032302,0.5122708254338751,6.690022724409665,41.30480169998353,8.030840827495737,54.08145234613717,687.3181722810737,165.48813262853943,1114.7882724738247,71.65977803880521,12.619761697420792,90.85811256196456,0,,0.0
M-01,CNC,2026-05-01,Morning,42.63,341,95.72,0,RUNNING,296.47532950487386,0.07442877283721981,296.61643356483006,306.55302518549723,0.8982973246757389,308.1310625881666,1.747429466551538,0.3874312934136595,2.4508466246689027,5.512378703897604,0.5067249387949027,6.620449824239176,40.54767099018157,10.702400971429556,60.21153917896246,725.2936666303096,234.75196247226418,1343.3309052208456,70.36456012997519,17.2988891044883,100.0,0,,0.0
M-01,CNC,2026-05-01,Night,41.7,334,95.53,0,RUNNING,296.25596739915136,0.15496317533287962,296.4833065967367,306.38936770432326,0.9838483154045987,308.2858989929008,1.815232674368423,0.4041249388026801,2.812648563986584,5.467528752966979,0.4790982077286325,6.476900784019456,40.09056994545602,10.589572263150083,63.20218220267479,749.5062418667067,276.1829008726563,1916.043304667293,69.77938094758333,18.9294738116275,100.0,0,,0.0
M-01,CNC,2026-05-02,Afternoon,41.41,331,97.09,0,RUNNING,296.39506124022876,0.08241229157079007,296.6023844121112,306.53292319400555,1.0706092312359086,308.31229309351886,1.76848962202483,0.4642617725417903,2.720088389451437,5.43667479526036,0.4807900159149812,6.352896716722865,39.54596998059612,8.905231859452986,54.1184224201785,730.2238382478607,220.27455804484669,1607.4496175596823,70.39046918584555,16.513047327455226,99.5372943035996,0,0.04,1.0
M-01,CNC,2026-05-02,Morning,43.99,352,97.53,0,RUNNING,296.48213502563027,0.11206807472652922,296.6712676026084,306.63769681368336,0.901682989600312,309.2533119580814,1.9166243557640512,0.43619533369531877,2.6836520932868453,5.56395506859687,0.4463419061277443,6.438325715946034,42.4285386169247,9.595593835692211,65.28380274446877,678.8876197724697,180.83941746057215,1361.9036415184755,73.13911928410467,18.07278212799928,100.0,0,,0.0
M-01,CNC,2026-05-02,Night,41.42,331,95.07,0,RUNNING,296.0342424412286,0.14150082773644934,296.3438507897054,305.8197796484289,0.9321146675669973,307.9774080591895,1.7152318229576797,0.5499335940445559,3.017331798199762,5.63380469190394,0.5518896483869172,6.735737272752969,38.81175812171262,9.25847784626027,54.54064767303491,753.2353870719385,235.80963972317198,1411.0084311114476,67.62376853253436,17.87120304800697,97.06647094511564,0,0.38,1.0
M-01,CNC,2026-05-03,Afternoon,39.83,319,94.88,0,RUNNING,296.2786470529102,0.07656283568746261,296.4307978985429,306.27570474560497,1.0947422226893853,308.90580820542743,1.7083511401677378,0.393328793089528,2.4784921370094297,5.593402265673887,0.5244080071066534,6.80078725774201,39.00483049934445,9.654036733048239,57.36442804766293,753.2798161357053,232.8034742974042,1570.6774206105342,68.38122173985299,17.76247079882494,100.0,0,1.04,1.0
M-01,CNC,2026-05-03,Morning,42.3,338,92.17,0,RUNNING,295.80921952904237,0.1346439755587776,296.17963562025085,305.9410363016566,0.9699522608493769,308.1429042032,1.8615597776622608,0.48179252020481267,2.8078075279489427,5.520879769639642,0.47055496309590306,6.323396054377656,40.31712676589181,12.072253486395077,68.77637519611291,769.1475607753418,362.2753532703799,2084.972771762166,68.81589549256849,20.35419333013824,100.0,0,0.71,1.0
M-01,CNC,2026-05-03,Night,40.72,326,96.63,0,RUNNING,296.1983118957303,0.14556613276061375,296.42354500360227,306.29784859195263,0.8970134658881663,307.8151265342234,1.775663357328866,0.37920926908171537,2.612179467057412,5.438581306192889,0.45357140875258045,6.125032241871984,37.41623712948475,11.73845714760448,70.61135784893347,801.7108560428725,250.53707269446107,1324.9257245093067,63.93911042713018,18.31027221066076,100.0,0,1.38,1.0
M-01,CNC,2026-05-04,Afternoon,43.85,351,95.55,0,RUNNING,295.6792002332006,0.2199617297342121,295.9551995583539,305.72715063381463,1.0777604320999221,308.6153730696959,1.7733957051948948,0.41119108587942876,2.3838955422668446,5.380416855933765,0.5052889565305809,6.27955562654406,38.966563723513715,8.302666341955932,57.3332470527336,740.5140828607182,175.03940454623978,1205.1479038367688,67.38133001986567,15.388027325167283,94.26886509574256,0,2.04,1.0
