machine_id,machine_type,timestamp,temperature_k,process_temperature_k,vibration_mm_s,pressure_bar,torque_nm,rotational_speed_rpm,load_pct,tool_wear_min,operating_status,failure_flag
M-01,CNC,2026-05-01 00:00:00,296.29605418948825,305.1681550974559,1.6325625568110929,5.150343538993144,44.31233376146437,595.2877540855108,68.77460877115895,0.25,RUNNING,0
M-01,CNC,2026-05-01 00:15:00,296.2576967077577,305.91124841040033,2.0906024257597697,4.98627165445469,48.49113295606409,568.6963972259568,92.59346060680905,0.5,RUNNING,0
M-01,CNC,2026-05-01 00:30:00,296.1826679295697,305.3804132631326,1.157411253281255,5.799270880107555,42.7987453784476,641.1636057808843,69.65866589101189,0.75,RUNNING,0
M-01,CNC,2026-05-01 00:45:00,296.1634407322,306.93859133952566,1.5466296771699717,5.601030239338316,35.404318882490585,776.7187295340839,55.98190578778358,1.0,RUNNING,0
M-01,CNC,2026-05-01 01:00:00,296.13831392950686,306.63799223675284,2.063035703809577,5.557989079141349,56.43896725201694,487.0106250473859,100.0,1.25,RUNNING,0
M-01,CNC,2026-05-01 01:15:00,296.1419434175039,306.23436021530296,2.1317595456018887,4.733347842169287,40.32944797375087,660.2933866358841,71.27866993212294,1.5,RUNNING,0
M-01,CNC,2026-05-01 01:30:00,296.1323446653748,306.51653737538487,2.122999045218342,5.74495496320279,36.6314703522286,734.2571313554087,52.39245561769174,1.75,RUNNING,0
M-01,CNC,2026-05-01 01:45:00,296.19773326207445,306.266585839925,2.255144685723613,5.554196733324098,39.15248308771788,699.7005441438117,66.57829840379081,2.0,RUNNING,0
M-01,CNC,2026-05-01 02:00:00,296.2357610758617,306.43072896170224,1.6380145354749636,5.050559300489209,39.24701405358085,694.4179996895631,78.05812502939791,2.25,RUNNING,0
M-01,CNC,2026-05-01 02:15:00,296.2264158878893,305.4207258948872,1.736223318392799,5.37166733681924,35.52317167419559,776.5186379028574,73.35536551896337,2.5,RUNNING,0
M-01,CNC,2026-05-01 02:30:00,296.1770195897299,305.8561923930593,2.006357796647816,4.543814004526395,36.06470470015969,780.6063551780629,62.838331258039545,2.75,RUNNING,0
M-01,CNC,2026-05-01 02:45:00,296.2417402459516,306.74408026096086,1.5508995455483243,5.628778595928233,56.327762467860815,467.4573191487609,100.0,3.0,RUNNING,0
M-01,CNC,2026-05-01 03:00:00,296.2845124604933,304.7385682785993,1.6057992626057966,5.082041407610207,37.27539018232756,719.9482038997991,60.608334501608496,3.25,RUNNING,0
M-01,CNC,2026-05-01 03:15:00,296.42913217737816,305.2423855718665,2.0576214514224884,5.38102100202971,35.00489580300492,784.4389470747096,53.78539009980581,3.5,RUNNING,0
M-01,CNC,2026-05-01 03:30:00,296.4434789890362,306.7498515330025,1.7624922395915017,5.468481084985386,45.191667509069454,628.9898874062111,80.70029185064585,3.75,RUNNING,0
M-01,CNC,2026-05-01 03:45:00,296.5328734061613,306.3329988983565,1.3269422449696262,4.304591037183112,41.27884167162863,642.7276989225841,59.53665565408937,4.0,RUNNING,0
M-01,CNC,2026-05-01 04:00:00,296.5579648480509,306.20709442495166,1.8957926943047512,5.872151908267971,50.61250713604522,552.745347049056,93.08476263609948,4.25,RUNNING,0
M-01,CNC,2026-05-01 04:15:00,296.56264338002705,305.0945733674384,1.7401617450372968,5.789917783297306,40.463746151453,672.6225763670288,70.9520058646043,4.5,RUNNING,0
M-01,CNC,2026-05-01 04:30:00,296.4804262245351,306.7259602227443,1.7692425178257358,5.076860321295467,22.97175892862376,1185.8340993006782,40.48799189661796,4.75,RUNNING,0
M-01,CNC,2026-05-01 04:45:00,296.51971202475886,306.5662916062348,2.1811684254328845,6.065303150511463,38.95977196230757,699.5521058812046,71.0452439318915,5.0,RUNNING,0
M-01,CNC,2026-05-01 05:00:00,296.4737878202793,306.90033619979727,1.6229767192794662,5.829506918069388,38.53625591050518,706.8325104442498,69.60651681882727,5.25,RUNNING,0
M-01,CNC,2026-05-01 05:15:00,296.4458372582531,306.14467063850987,1.8378690029960012,5.648772153220775,48.1717855946621,578.1721950016635,85.63584717450034,5.5,RUNNING,0
